Sample,NRI,NTI
ICR_5_pp1,-3.548560708,-7.724606685
ICR_6_pp2,-3.73894363,-4.938143216
ICR_7_pp1,-4.239341653,-3.121989447
ICR_7_pp2,-3.65431764,-3.508884439
ICR_7_pp3,-1.735459217,-5.098162175
ICR_8_pp1,-5.423651776,-3.370656014
ICR_8_pp2,-6.255084577,-3.638376639
ICR_9_pp1,-3.871796514,-6.996558527
ICR_9_pp2,-3.352776247,-8.310545857
ICR_9_pp3,-4.407756356,-6.163560091
River_at_ICR2p1,-4.98149389,-7.860065782
River_at_ICR2p2,-6.013380072,-5.943601387
River_at_ICR3,-7.105764144,-6.585988761
River_at_ICR6,-5.80906335,-7.828706654
River_at_ICR7,-5.779013364,-9.124281825
River_at_ICR8,-7.093401303,-6.522052013
River_at_ICR9,-6.183266396,-7.184222233
ICR_1_pp1,-13.18264639,-11.17157393
ICR_2_pp1,-5.363057641,-8.894335639
ICR_3_pp1,-18.69411328,-11.86199419
ICR_4_pp1,-4.007968746,-6.127616828